0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ACJ|ACJ|Анурадхапура|Анурадхапура|Anuradhapura|Anuradhapura|Анурадхапура|Анурадхапура|Anuradhapura|Anuradhapura|Шри-Ланка|Шри-Ланка|32.110799|32.110799|-84.188848|-84.188848
ACK|ACK|||Nantucket Memorial|Nantucket Memorial|||Nantucket|Nantucket|США|США|41.253111|41.253111|-70.060306|-70.060306
ACL|ACL|||Aguaclara|Aguaclara|||Aguaclara|Aguaclara|Колумбия|Колумбия|4.749|4.749|-72.994|-72.994
ACM|ACM|Арика|Арика|Arica|Arica|Арика|Арика|Arica|Arica|Колумбия|Колумбия|-2.133|-2.133|-71.783|-71.783
ACN|ACN|||International|International|Сиудад-Акуна|Сиудад-Акуна|Ciudad Acuna|Ciudad Acuna|Мексика|Мексика|29.333917|29.333917|-101.100891|-101.100891
ACO|ACO|Аскона|Аскона|Ascona|Ascona|Аскона|Аскона|Ascona|Ascona|Швейцария|Швейцария|46.157778|46.157778|8.781944|8.781944
ACP|ACP|||Sahand|Sahand|||Sahand|Sahand|Иран|Иран|37.348017|37.348017|46.127903|46.127903
ACR|ACR|Араракуара|Араракуара|Araracuara|Araracuara|Араракуара|Араракуара|Araracuara|Araracuara|Колумбия|Колумбия|-0.601110|-0.601110|-72.397777|-72.397777
ACS|ACS|Ачинск|Ачинск|Achinsk|Achinsk|Ачинск|Ачинск|Achinsk|Achinsk|Россия|Россия|56.268333|56.268333|90.570833|90.570833
ACT|ACT|||Municipal|Municipal|Вако|Вако|Waco|Waco|США|США|31.611700|31.611700|-97.230284|-97.230284
ACU|ACU|Ахутупо|Ахутупо|Achutupo|Achutupo|Ахутупо|Ахутупо|Achutupo|Achutupo|Панама|Панама|9.183|9.183|-78.017|-78.017
ACV|ACV|||Arcata|Arcata|||Arcata|Arcata|США|США|40.978111|40.978111|-124.108611|-124.108611
ACX|ACX|||Xingyi|Xingyi|||Xingyi|Xingyi|Китай|Китай|25.155|25.155|104.971|104.971
ACY|ACY|||Atlantic City Intl|Atlantic City Intl|Атлантик Сити|Атлантик Сити|Atlantic City|Atlantic City|США|США|39.457576|39.457576|-74.577154|-74.577154
ACZ|ACZ|||Zabol A/P|Zabol A/P|Забол|Забол|Zabol|Zabol|Иран|Иран|31.098333|31.098333|61.543889|61.543889
ADA|ADA|Адана|Адана|Adana|Adana|Адана|Адана|Adana|Adana|Турция|Турция|36.982166|36.982166|35.280388|35.280388
ADB|ADB|||Adnan Menderes|Adnan Menderes|Измир|Измир|Izmir|Izmir|Турция|Турция|38.292392|38.292392|27.156953|27.156953
ADC|ADC|||Andakombe|Andakombe|||Andakombe|Andakombe|Папуа - Новая Гвинея|Папуа - Новая Гвинея|46.450270|46.450270|-95.210955|-95.210955
ADD|ADD|||Bole International|Bole International|Аддис Абеба|Аддис Абеба|Addis Ababa|Addis Ababa|Эфиопия|Эфиопия|8.977889|8.977889|38.799319|38.799319
ADE|ADE|Международный|Международный|International|International|Аден|Аден|Aden|Aden|Йемен|Йемен|12.829542|12.829542|45.028792|45.028792
ADF|ADF|||Adiyaman|Adiyaman|||Adiyaman|Adiyaman|Турция|Турция|37.731369|37.731369|38.468936|38.468936
ADG|ADG|||Lenawee County|Lenawee County|||Adrian|Adrian|США|США|41.867637|41.867637|-84.077305|-84.077305
ADH|ADH|Алдан|Алдан|Aldan|Aldan|Алдан|Алдан|Aldan|Aldan|Россия|Россия|58.603333|58.603333|125.407778|125.407778
ADI|ADI|||Arandis|Arandis|||Arandis|Arandis|Намибия|Намибия|-22.462222|-22.462222|14.980000|14.980000
ADJ|ADJ|||Marka International Airport|Marka International Airport|Амман|Амман|Amman|Amman|Иордания|Иордания|31.972703|31.972703|35.991569|35.991569
ADK|ADK|||Adak Island NS|Adak Island NS|||Adak Island|Adak Island|США|США|51.883583|51.883583|-176.642481|-176.642481
ADL|ADL|||Adelaide International Airport|Adelaide International Airport|Аделаида|Аделаида|Adelaide|Adelaide|Австралия|Австралия|-34.944999|-34.944999|138.530556|138.530556
ADM|ADM|||Ardmore Municipal Arpt|Ardmore Municipal Arpt|Ардмор|Ардмор|Ardmore|Ardmore|США|США|34.303873|34.303873|-97.020596|-97.020596
ADN|ADN|Андес|Андес|Andes|Andes|Андес|Андес|Andes|Andes|Колумбия|Колумбия|5.656|5.656|-75.879|-75.879
ADO|ADO|||Andamooka|Andamooka|||Andamooka|Andamooka|Австралия|Австралия|-30.437777|-30.437777|137.137222|137.137222
ADP|ADP|||Ampara|Ampara|||Ampara|Ampara|Шри-Ланка|Шри-Ланка|7.337081|7.337081|81.625881|81.625881
